Time,Learning rate,Train loss,Validation loss,MAE_expt
3.062628984451294,0.01,43.86948371887207,13.344027976989747,2.5140051555633547
5.919234991073608,0.01,13.29796630859375,15.809756803512574,3.037065181732178
8.736433029174805,0.01,8.610958709716797,8.536607706546784,2.107589130401611
11.77729606628418,0.01,5.560531253814697,6.064728622436523,1.6819960355758667
14.582177877426147,0.01,3.6297450351715086,3.6409433555603026,1.5172182130813598
17.252424001693726,0.01,3.1141123008728027,4.372644462585449,1.7426093912124634
20.07834506034851,0.01,3.4463595056533816,2.972122631072998,1.3950845575332642
22.778255939483643,0.01,2.7696807861328123,2.6770379638671873,1.328303213119507
25.569879055023193,0.01,2.487368969917297,2.537327003479004,1.2409265518188477
28.347291946411133,0.01,2.4593278884887697,2.5345453643798828,1.2462141418457031
31.160063982009888,0.01,2.5284286880493165,2.6658332252502444,1.2937450885772706
33.836865186691284,0.01,2.4051139545440674,2.718855686187744,1.273936047554016
36.70611310005188,0.01,2.645990180969238,2.7504398345947267,1.2383313751220704
39.594335079193115,0.01,2.7160938930511476,2.5812635898590086,1.285010085105896
42.41942310333252,0.01,2.3477773094177246,3.2934927558898925,1.393525333404541
45.166911125183105,0.01,2.57267201423645,4.075186538696289,1.4115917587280273
47.87836289405823,0.008,2.6283756399154665,2.4168450927734373,1.2087564325332643
50.58078408241272,0.008,2.676651706695557,3.2069906425476074,1.447684917449951
53.50187397003174,0.008,2.5779959869384768,2.371279640197754,1.2190003967285157
56.45502591133118,0.008,2.1626899671554565,2.3854362964630127,1.1996600103378297
59.23230195045471,0.008,1.9884989547729492,1.8280015182495117,1.081895260810852
61.65086388587952,0.008,2.0183571863174437,2.4234868335723876,1.2325498390197753
63.903239011764526,0.008,1.7093853998184203,1.9500462293624878,1.0433311796188354
66.18534684181213,0.008,1.719236843585968,2.394069663286209,1.0731255102157593
68.45727896690369,0.008,2.0253638219833374,2.365688648223877,1.1121597051620484
